final_rank,candidate_id,llm_composite_score,semantic_score,rerank_score,technical_skill_match,career_trajectory,domain_relevance,behavioral_engagement,cultural_fit,bonus_signals,recommendation,reasoning,current_title,current_company,years_of_experience,location,current_industry
1,CAND_0049978,62.8,0.82598525,0.0058655994944274,1.0,8.0,9.4,9.4,7.2,7.4,yes,"Matches 1/13 required skills (embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.6 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 69/100). Highly responsive to recruiters (71%). Direct industry match (ai/ml). India-based (Trivandrum, Kerala) — relocation may be needed.",Senior Software Engineer (ML),Sarvam AI,6.6,"Trivandrum, Kerala",AI/ML
2,CAND_0070525,62.55,0.7857944,0.038723386824131,3.0,7.3,8.0,8.9,7.3,4.6,yes,"Matches 4/13 required skills (python, llms, computer vision, embeddings). Missing: a/b testing, fine-tuning, go.... Below required experience: 5.4 years experience (senior software engineer (ml) at Mad Street Den), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (93%). Direct industry match (ai/ml). Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Mad Street Den,5.4,"Hyderabad, Telangana",AI/ML
3,CAND_0008202,61.55,0.7732954,0.321853756904602,3.0,7.5,9.4,8.7,4.1,3.2,yes,"Matches 4/13 required skills (python, computer vision, llms, rag). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.7 years experience (senior software engineer (ml) at Yellow.ai), needs 9+. Direct industry match (ai/ml). India-based (Vizag, Andhra Pradesh) — relocation may be needed.",Senior Software Engineer (ML),Yellow.ai,5.7,"Vizag, Andhra Pradesh",AI/ML
4,CAND_0060835,61.5,0.80190754,0.0464836992323398,1.0,8.0,10.0,7.6,6.6,9.0,yes,"Matches 1/13 required skills (embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.6 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 82/100). Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",Senior Software Engineer (ML),Sarvam AI,6.6,"Bangalore, Karnataka",AI/ML
5,CAND_0059795,61.45,0.79353213,0.886208176612854,1.6,7.4,8.0,9.8,7.2,7.9,yes,"Matches 2/13 required skills (llms, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (senior software engineer (ml) at Locobuzz), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 57/100). Highly responsive to recruiters (75%). Direct industry match (ai/ml). Location match (Mumbai, Maharashtra).",Senior Software Engineer (ML),Locobuzz,5.6,"Mumbai, Maharashtra",AI/ML
6,CAND_0073007,57.7,0.79444957,0.0242993906140327,1.8,5.8,8.0,9.2,6.7,8.4,maybe,"Matches 2/13 required skills (embeddings, computer vision). Missing: a/b testing, fine-tuning, go.... Below required experience: 5.8 years experience (ai specialist at Aganitha), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 66/100). Highly responsive to recruiters (83%). Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",AI Specialist,Aganitha,5.8,"Bangalore, Karnataka",AI/ML
7,CAND_0004402,57.1,0.79136544,0.1832444220781326,0.9,5.9,10.0,9.6,7.2,2.0,maybe,"Matches 1/13 required skills (computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.0 years experience (ai research engineer at Yellow.ai), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (83%). Direct industry match (ai/ml). Location match (Delhi, Delhi).",AI Research Engineer,Yellow.ai,6.0,"Delhi, Delhi",AI/ML
8,CAND_0003609,56.85,0.7892433,0.2494846731424331,1.0,7.7,9.4,7.4,4.8,7.5,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.1 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Strong open-source presence (GitHub score: 65/100). Direct industry match (ai/ml). India-based (Bhubaneswar, Odisha) — relocation may be needed.",Senior Software Engineer (ML),Sarvam AI,6.1,"Bhubaneswar, Odisha",AI/ML
9,CAND_0067183,56.3,0.778838,0.0228148214519023,2.2,6.0,9.4,6.4,7.0,4.6,maybe,"Matches 3/13 required skills (nlp, rag, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.1 years experience (ml engineer at Sarvam AI), needs 9+. Actively open to new opportunities. Direct industry match (ai/ml). India-based (Vizag, Andhra Pradesh) — relocation may be needed.",ML Engineer,Sarvam AI,6.1,"Vizag, Andhra Pradesh",AI/ML
10,CAND_0078508,55.65,0.7927244,0.323453813791275,2.3,5.4,9.4,8.2,4.6,4.5,maybe,"Matches 3/13 required skills (llms, embeddings, nlp). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 5.2 years experience (ai research engineer at Rephrase.ai), needs 9+. Available quickly (30-day notice). Direct industry match (ai/ml). India-based (Chandigarh, Chandigarh) — relocation may be needed.",AI Research Engineer,Rephrase.ai,5.2,"Chandigarh, Chandigarh",AI/ML
